,Date  ,Open,High,Low,Close
0,24-Oct-22,136.0,136.95,135.0,136.45
1,25-Oct-22,136.2,139.9,133.85,139.2
2,27-Oct-22,140.0,140.6,137.45,139.3
3,31-Oct-22,138.8,140.3,137.7,139.9
4,01-Nov-22,140.0,141.85,139.2,140.55
5,02-Nov-22,141.0,144.2,140.65,143.25
6,03-Nov-22,142.95,144.85,142.15,143.95
7,04-Nov-22,142.45,143.4,140.5,141.85
8,07-Nov-22,142.05,144.5,141.5,144.05
9,09-Nov-22,145.5,145.5,142.0,142.6
10,10-Nov-22,142.6,142.6,138.85,140.2
11,11-Nov-22,141.9,145.8,141.5,144.7
12,14-Nov-22,145.45,147.35,143.6,145.85
13,15-Nov-22,146.5,146.5,144.2,145.35
14,16-Nov-22,145.35,145.85,140.95,141.55
15,17-Nov-22,140.8,141.2,138.3,139.0
16,18-Nov-22,139.55,139.95,137.5,138.45
17,21-Nov-22,142.95,146.35,141.2,145.25
18,22-Nov-22,146.2,146.2,140.95,141.65
19,23-Nov-22,142.5,143.0,141.45,141.9
20,24-Nov-22,142.35,147.95,140.8,146.95
21,25-Nov-22,147.6,151.8,145.55,150.35
22,28-Nov-22,150.9,150.9,146.35,148.05
23,29-Nov-22,148.05,150.85,147.05,148.4
24,30-Nov-22,148.7,148.75,147.3,147.85
25,01-Dec-22,148.0,149.0,147.1,148.0
26,02-Dec-22,148.85,151.0,148.5,150.2
27,05-Dec-22,150.9,152.4,150.0,151.0
28,06-Dec-22,150.85,150.85,147.85,148.35
29,07-Dec-22,148.1,148.7,145.0,146.2
30,08-Dec-22,146.3,148.5,146.0,148.25
31,09-Dec-22,148.95,149.0,144.4,145.1
32,12-Dec-22,145.1,145.45,142.8,144.3
33,13-Dec-22,145.8,148.2,145.4,146.9
34,14-Dec-22,147.9,150.6,147.45,148.2
35,15-Dec-22,148.2,148.95,147.15,147.95
36,16-Dec-22,147.55,147.7,144.3,144.85
37,19-Dec-22,144.85,145.5,143.0,144.8
38,20-Dec-22,144.25,145.4,142.65,143.9
39,21-Dec-22,144.25,145.7,140.4,141.1
40,22-Dec-22,141.2,142.1,137.6,138.4
41,23-Dec-22,137.0,137.9,129.5,130.2
42,26-Dec-22,131.0,136.95,129.25,136.6
43,27-Dec-22,137.85,139.3,136.7,138.5
44,28-Dec-22,138.5,140.3,137.35,139.6
45,29-Dec-22,138.5,140.3,137.3,139.6
46,30-Dec-22,140.2,142.2,139.65,140.0
47,02-Jan-23,140.45,142.65,140.45,142.25
48,03-Jan-23,142.5,143.8,141.6,142.65
49,04-Jan-23,142.0,142.35,140.05,140.5
50,05-Jan-23,141.0,141.2,138.8,140.45
51,06-Jan-23,140.65,141.6,138.6,139.15
52,09-Jan-23,140.8,142.45,140.2,141.4
53,10-Jan-23,141.4,143.2,140.65,141.7
54,11-Jan-23,142.65,143.0,140.6,141.85
55,12-Jan-23,142.5,142.6,140.55,141.4
56,13-Jan-23,142.0,142.25,140.6,141.65
57,16-Jan-23,142.0,142.9,140.3,140.75
58,17-Jan-23,141.2,141.3,138.6,139.9
59,18-Jan-23,140.0,140.35,139.2,139.5
60,19-Jan-23,138.95,139.2,137.55,138.5
61,20-Jan-23,138.5,138.8,134.8,135.7
62,23-Jan-23,134.8,139.4,134.15,138.7
63,24-Jan-23,138.15,140.25,137.85,138.75
64,25-Jan-23,138.7,139.95,136.6,136.9
65,27-Jan-23,137.6,138.15,132.0,134.25
66,30-Jan-23,134.25,136.45,133.7,135.35
67,31-Jan-23,135.85,138.9,134.95,138.6
68,01-Feb-23,139.3,140.15,134.35,136.75
69,02-Feb-23,136.75,139.55,135.4,138.75
70,03-Feb-23,139.4,139.4,136.4,138.25
71,06-Feb-23,137.95,140.0,137.0,139.55
72,07-Feb-23,139.7,139.8,137.3,138.05
73,08-Feb-23,138.1,138.6,137.0,138.1
74,09-Feb-23,138.2,138.7,135.4,135.65
75,10-Feb-23,135.7,136.85,134.5,134.95
76,13-Feb-23,138.0,138.0,133.45,133.85
77,14-Feb-23,134.25,134.5,132.5,133.4
78,15-Feb-23,133.4,135.8,133.2,134.35
79,16-Feb-23,134.75,136.4,134.55,136.15
80,17-Feb-23,135.45,136.5,134.6,135.45
81,20-Feb-23,135.6,139.3,135.05,138.25
82,21-Feb-23,139.0,145.65,138.2,144.05
83,22-Feb-23,144.05,146.4,142.65,145.5
84,23-Feb-23,145.6,145.85,141.35,142.05
85,24-Feb-23,142.8,145.75,142.15,143.85
86,27-Feb-23,144.1,144.35,141.0,143.0
87,28-Feb-23,143.0,145.0,142.0,144.55
88,01-Mar-23,144.9,148.25,143.9,147.5
89,02-Mar-23,147.8,148.8,147.0,147.8
90,03-Mar-23,148.4,149.2,145.0,145.3
91,06-Mar-23,145.45,147.8,143.6,146.7
92,08-Mar-23,146.4,149.0,145.35,148.75
93,09-Mar-23,149.55,152.2,147.4,148.15
94,10-Mar-23,145.5,150.2,145.5,148.9
95,13-Mar-23,149.35,149.65,142.65,143.2
96,14-Mar-23,143.0,146.15,142.05,145.3
97,15-Mar-23,147.2,153.8,147.2,151.45
98,16-Mar-23,151.3,152.8,148.5,152.2
99,17-Mar-23,152.85,154.6,150.6,151.4
100,20-Mar-23,150.5,151.25,147.2,150.45
101,21-Mar-23,150.5,151.95,149.45,150.15
102,22-Mar-23,150.15,151.2,149.1,149.85
103,23-Mar-23,149.45,150.4,147.15,147.95
104,24-Mar-23,147.9,147.9,142.2,142.95
105,27-Mar-23,142.95,143.0,133.5,134.15
106,28-Mar-23,133.9,134.3,127.4,127.95
107,29-Mar-23,127.3,130.5,125.8,128.6
108,31-Mar-23,129.2,131.75,127.45,127.95
109,03-Apr-23,129.65,134.45,128.9,133.85
110,05-Apr-23,134.5,136.85,132.7,136.5
111,06-Apr-23,137.5,151.9,136.75,150.85
112,10-Apr-23,150.85,153.2,148.5,152.5
113,11-Apr-23,152.5,157.0,151.2,155.95
114,12-Apr-23,156.4,157.25,153.85,155.7
115,13-Apr-23,156.0,157.1,154.25,154.8
116,17-Apr-23,154.15,154.85,152.7,154.1
117,18-Apr-23,154.5,156.85,153.0,153.85
118,19-Apr-23,153.5,154.35,152.45,152.85
119,20-Apr-23,153.1,155.15,151.6,153.85
120,21-Apr-23,153.4,154.9,152.45,153.7
